,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.011235955056179775,0.0449438202247191,0.0,-0.011235955056179775,0.0,-0.011235955056179775
plurality,0.011235955056179775,0.0,-0.02247191011235955,0.011235955056179775,0.0,0.011235955056179775,0.0
gt,-0.0449438202247191,0.02247191011235955,0.0,-0.0449438202247191,0.02247191011235955,-0.0449438202247191,0.02247191011235955
minimax,0.0,-0.011235955056179775,0.0449438202247191,0.0,-0.011235955056179775,0.0,-0.011235955056179775
gtd,0.011235955056179775,0.0,-0.02247191011235955,0.011235955056179775,0.0,0.011235955056179775,0.0
Schulze,0.0,-0.011235955056179775,0.0449438202247191,0.0,-0.011235955056179775,0.0,-0.011235955056179775
IRV,0.011235955056179775,0.0,-0.02247191011235955,0.011235955056179775,0.0,0.011235955056179775,0.0
