,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0,-0.012367491166077738,-0.012367491166077738,-0.012367491166077738,-0.012367491166077738,-0.012367491166077738
plurality,0.0,0.0,-0.012367491166077738,-0.012367491166077738,-0.012367491166077738,-0.012367491166077738,-0.012367491166077738
gt,0.012367491166077738,0.012367491166077738,0.0,0.0,0.0,0.0,0.0
minimax,0.012367491166077738,0.012367491166077738,0.0,0.0,0.0,0.0,0.0
gtd,0.012367491166077738,0.012367491166077738,0.0,0.0,0.0,0.0,0.0
Schulze,0.012367491166077738,0.012367491166077738,0.0,0.0,0.0,0.0,0.0
IRV,0.012367491166077738,0.012367491166077738,0.0,0.0,0.0,0.0,0.0
