,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.019565990750622556,-0.019565990750622556,0.0,-0.019565990750622556,0.0,-0.019565990750622556
plurality,0.019565990750622556,0.0,0.0,0.019565990750622556,0.0,0.019565990750622556,0.0
gt,0.019565990750622556,0.0,0.0,0.019565990750622556,0.0,0.019565990750622556,0.0
minimax,0.0,-0.019565990750622556,-0.019565990750622556,0.0,-0.019565990750622556,0.0,-0.019565990750622556
gtd,0.019565990750622556,0.0,0.0,0.019565990750622556,0.0,0.019565990750622556,0.0
Schulze,0.0,-0.019565990750622556,-0.019565990750622556,0.0,-0.019565990750622556,0.0,-0.019565990750622556
IRV,0.019565990750622556,0.0,0.0,0.019565990750622556,0.0,0.019565990750622556,0.0
