,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.013215859030837005,-0.013215859030837005,0.0,-0.013215859030837005,0.0,-0.013215859030837005
plurality,0.013215859030837005,0.0,0.0,0.013215859030837005,0.0,0.013215859030837005,0.0
gt,0.013215859030837005,0.0,0.0,0.013215859030837005,0.0,0.013215859030837005,0.0
minimax,0.0,-0.013215859030837005,-0.013215859030837005,0.0,-0.013215859030837005,0.0,-0.013215859030837005
gtd,0.013215859030837005,0.0,0.0,0.013215859030837005,0.0,0.013215859030837005,0.0
Schulze,0.0,-0.013215859030837005,-0.013215859030837005,0.0,-0.013215859030837005,0.0,-0.013215859030837005
IRV,0.013215859030837005,0.0,0.0,0.013215859030837005,0.0,0.013215859030837005,0.0
