,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.04482225656877898,-0.013910355486862442,-0.013910355486862442,-0.013910355486862442,-0.013910355486862442,0.0
plurality,-0.04482225656877898,0.0,0.00463678516228748,0.00463678516228748,0.00463678516228748,0.00463678516228748,-0.04482225656877898
gt,0.013910355486862442,-0.00463678516228748,0.0,0.0,0.0,0.0,0.013910355486862442
minimax,0.013910355486862442,-0.00463678516228748,0.0,0.0,0.0,0.0,0.013910355486862442
gtd,0.013910355486862442,-0.00463678516228748,0.0,0.0,0.0,0.0,0.013910355486862442
Schulze,0.013910355486862442,-0.00463678516228748,0.0,0.0,0.0,0.0,0.013910355486862442
IRV,0.0,0.04482225656877898,-0.013910355486862442,-0.013910355486862442,-0.013910355486862442,-0.013910355486862442,0.0
