,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.045207956600361664,0.0,0.0,-0.012658227848101266,0.0,0.0
plurality,-0.045207956600361664,0.0,-0.045207956600361664,-0.045207956600361664,0.034358047016274866,-0.045207956600361664,-0.045207956600361664
gt,0.0,0.045207956600361664,0.0,0.0,-0.012658227848101266,0.0,0.0
minimax,0.0,0.045207956600361664,0.0,0.0,-0.012658227848101266,0.0,0.0
gtd,0.012658227848101266,-0.034358047016274866,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266
Schulze,0.0,0.045207956600361664,0.0,0.0,-0.012658227848101266,0.0,0.0
IRV,0.0,0.045207956600361664,0.0,0.0,-0.012658227848101266,0.0,0.0
