,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.029239766081871343,-0.001949317738791423,0.0,-0.001949317738791423,0.0,0.0
plurality,-0.029239766081871343,0.0,0.021442495126705652,-0.029239766081871343,0.021442495126705652,-0.029239766081871343,-0.029239766081871343
gt,0.001949317738791423,-0.021442495126705652,0.0,0.001949317738791423,0.0,0.001949317738791423,0.001949317738791423
minimax,0.0,0.029239766081871343,-0.001949317738791423,0.0,-0.001949317738791423,0.0,0.0
gtd,0.001949317738791423,-0.021442495126705652,0.0,0.001949317738791423,0.0,0.001949317738791423,0.001949317738791423
Schulze,0.0,0.029239766081871343,-0.001949317738791423,0.0,-0.001949317738791423,0.0,0.0
IRV,0.0,0.029239766081871343,-0.001949317738791423,0.0,-0.001949317738791423,0.0,0.0
