,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0,-0.0109204368174727,0.0,-0.0109204368174727,0.0,-0.0109204368174727
plurality,0.0,0.0,-0.0109204368174727,0.0,-0.0109204368174727,0.0,-0.0109204368174727
gt,0.0109204368174727,0.0109204368174727,0.0,0.0109204368174727,0.0,0.0109204368174727,0.0
minimax,0.0,0.0,-0.0109204368174727,0.0,-0.0109204368174727,0.0,-0.0109204368174727
gtd,0.0109204368174727,0.0109204368174727,0.0,0.0109204368174727,0.0,0.0109204368174727,0.0
Schulze,0.0,0.0,-0.0109204368174727,0.0,-0.0109204368174727,0.0,-0.0109204368174727
IRV,0.0109204368174727,0.0109204368174727,0.0,0.0109204368174727,0.0,0.0109204368174727,0.0
