,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.02072538860103627,-0.0051813471502590676,0.0,-0.0051813471502590676,0.0,0.0
plurality,-0.02072538860103627,0.0,0.010362694300518135,-0.02072538860103627,0.010362694300518135,-0.02072538860103627,-0.02072538860103627
gt,0.0051813471502590676,-0.010362694300518135,0.0,0.0051813471502590676,0.0,0.0051813471502590676,0.0051813471502590676
minimax,0.0,0.02072538860103627,-0.0051813471502590676,0.0,-0.0051813471502590676,0.0,0.0
gtd,0.0051813471502590676,-0.010362694300518135,0.0,0.0051813471502590676,0.0,0.0051813471502590676,0.0051813471502590676
Schulze,0.0,0.02072538860103627,-0.0051813471502590676,0.0,-0.0051813471502590676,0.0,0.0
IRV,0.0,0.02072538860103627,-0.0051813471502590676,0.0,-0.0051813471502590676,0.0,0.0
