,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.04364326375711575,-0.0018975332068311196,0.0,0.0,0.0,0.0
plurality,-0.04364326375711575,0.0,0.07020872865275142,-0.04364326375711575,-0.04364326375711575,-0.04364326375711575,-0.04364326375711575
gt,0.0018975332068311196,-0.07020872865275142,0.0,0.0018975332068311196,0.0018975332068311196,0.0018975332068311196,0.0018975332068311196
minimax,0.0,0.04364326375711575,-0.0018975332068311196,0.0,0.0,0.0,0.0
gtd,0.0,0.04364326375711575,-0.0018975332068311196,0.0,0.0,0.0,0.0
Schulze,0.0,0.04364326375711575,-0.0018975332068311196,0.0,0.0,0.0,0.0
IRV,0.0,0.04364326375711575,-0.0018975332068311196,0.0,0.0,0.0,0.0
