,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.020463847203274217,-0.013642564802182811,-0.013642564802182811,-0.013642564802182811,-0.013642564802182811,0.0
plurality,-0.020463847203274217,0.0,0.009549795361527967,0.009549795361527967,0.009549795361527967,0.009549795361527967,-0.020463847203274217
gt,0.013642564802182811,-0.009549795361527967,0.0,0.0,0.0,0.0,0.013642564802182811
minimax,0.013642564802182811,-0.009549795361527967,0.0,0.0,0.0,0.0,0.013642564802182811
gtd,0.013642564802182811,-0.009549795361527967,0.0,0.0,0.0,0.0,0.013642564802182811
Schulze,0.013642564802182811,-0.009549795361527967,0.0,0.0,0.0,0.0,0.013642564802182811
IRV,0.0,0.020463847203274217,-0.013642564802182811,-0.013642564802182811,-0.013642564802182811,-0.013642564802182811,0.0
