,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.04918032786885246,0.12021857923497267,-0.04918032786885246,-0.04918032786885246,-0.04918032786885246,-0.04918032786885246
plurality,0.04918032786885246,0.0,-0.01639344262295082,0.0,0.0,0.0,0.0
gt,-0.12021857923497267,0.01639344262295082,0.0,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082
minimax,0.04918032786885246,0.0,-0.01639344262295082,0.0,0.0,0.0,0.0
gtd,0.04918032786885246,0.0,-0.01639344262295082,0.0,0.0,0.0,0.0
Schulze,0.04918032786885246,0.0,-0.01639344262295082,0.0,0.0,0.0,0.0
IRV,0.04918032786885246,0.0,-0.01639344262295082,0.0,0.0,0.0,0.0
