,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,-0.005905511811023622
plurality,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,-0.005905511811023622
gt,-0.007874015748031496,-0.007874015748031496,0.0,-0.007874015748031496,-0.007874015748031496,-0.007874015748031496,0.00984251968503937
minimax,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,-0.005905511811023622
gtd,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,-0.005905511811023622
Schulze,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,-0.005905511811023622
IRV,0.005905511811023622,0.005905511811023622,-0.00984251968503937,0.005905511811023622,0.005905511811023622,0.005905511811023622,0.0
