,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.024390243902439025,-0.0022172949002217295,0.0,-0.0022172949002217295,0.0,0.024390243902439025
plurality,-0.024390243902439025,0.0,0.011086474501108648,-0.024390243902439025,0.011086474501108648,-0.024390243902439025,0.0
gt,0.0022172949002217295,-0.011086474501108648,0.0,0.0022172949002217295,0.0,0.0022172949002217295,-0.011086474501108648
minimax,0.0,0.024390243902439025,-0.0022172949002217295,0.0,-0.0022172949002217295,0.0,0.024390243902439025
gtd,0.0022172949002217295,-0.011086474501108648,0.0,0.0022172949002217295,0.0,0.0022172949002217295,-0.011086474501108648
Schulze,0.0,0.024390243902439025,-0.0022172949002217295,0.0,-0.0022172949002217295,0.0,0.024390243902439025
IRV,-0.024390243902439025,0.0,0.011086474501108648,-0.024390243902439025,0.011086474501108648,-0.024390243902439025,0.0
