,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.03910614525139665,0.03910614525139665,0.0,-0.008379888268156424,0.0,0.03910614525139665
plurality,-0.03910614525139665,0.0,0.0,-0.03910614525139665,0.0223463687150838,-0.03910614525139665,0.0
gt,-0.03910614525139665,0.0,0.0,-0.03910614525139665,0.0223463687150838,-0.03910614525139665,0.0
minimax,0.0,0.03910614525139665,0.03910614525139665,0.0,-0.008379888268156424,0.0,0.03910614525139665
gtd,0.008379888268156424,-0.0223463687150838,-0.0223463687150838,0.008379888268156424,0.0,0.008379888268156424,-0.0223463687150838
Schulze,0.0,0.03910614525139665,0.03910614525139665,0.0,-0.008379888268156424,0.0,0.03910614525139665
IRV,-0.03910614525139665,0.0,0.0,-0.03910614525139665,0.0223463687150838,-0.03910614525139665,0.0
