,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.02564102564102564,0.03133903133903134,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.03133903133903134
plurality,0.02564102564102564,0.0,-0.02564102564102564,0.0,0.0,0.0,-0.02564102564102564
gt,-0.03133903133903134,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0
minimax,0.02564102564102564,0.0,-0.02564102564102564,0.0,0.0,0.0,-0.02564102564102564
gtd,0.02564102564102564,0.0,-0.02564102564102564,0.0,0.0,0.0,-0.02564102564102564
Schulze,0.02564102564102564,0.0,-0.02564102564102564,0.0,0.0,0.0,-0.02564102564102564
IRV,-0.03133903133903134,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0
