,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0,-0.022375215146299483,-0.022375215146299483,-0.022375215146299483,-0.022375215146299483,-0.022375215146299483
plurality,0.0,0.0,-0.022375215146299483,-0.022375215146299483,-0.022375215146299483,-0.022375215146299483,-0.022375215146299483
gt,0.022375215146299483,0.022375215146299483,0.0,0.0,0.0,0.0,0.0
minimax,0.022375215146299483,0.022375215146299483,0.0,0.0,0.0,0.0,0.0
gtd,0.022375215146299483,0.022375215146299483,0.0,0.0,0.0,0.0,0.0
Schulze,0.022375215146299483,0.022375215146299483,0.0,0.0,0.0,0.0,0.0
IRV,0.022375215146299483,0.022375215146299483,0.0,0.0,0.0,0.0,0.0
