,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.03529411764705882,0.0,0.0,-0.014705882352941176,0.0,0.0
plurality,-0.03529411764705882,0.0,-0.03529411764705882,-0.03529411764705882,0.01764705882352941,-0.03529411764705882,-0.03529411764705882
gt,0.0,0.03529411764705882,0.0,0.0,-0.014705882352941176,0.0,0.0
minimax,0.0,0.03529411764705882,0.0,0.0,-0.014705882352941176,0.0,0.0
gtd,0.014705882352941176,-0.01764705882352941,0.014705882352941176,0.014705882352941176,0.0,0.014705882352941176,0.014705882352941176
Schulze,0.0,0.03529411764705882,0.0,0.0,-0.014705882352941176,0.0,0.0
IRV,0.0,0.03529411764705882,0.0,0.0,-0.014705882352941176,0.0,0.0
