,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.0023094688221709007,0.0,0.0,-0.0023094688221709007,0.0,0.011547344110854504
plurality,0.0023094688221709007,0.0,0.0023094688221709007,0.0023094688221709007,0.0,0.0023094688221709007,-0.006928406466512702
gt,0.0,-0.0023094688221709007,0.0,0.0,-0.0023094688221709007,0.0,0.011547344110854504
minimax,0.0,-0.0023094688221709007,0.0,0.0,-0.0023094688221709007,0.0,0.011547344110854504
gtd,0.0023094688221709007,0.0,0.0023094688221709007,0.0023094688221709007,0.0,0.0023094688221709007,-0.006928406466512702
Schulze,0.0,-0.0023094688221709007,0.0,0.0,-0.0023094688221709007,0.0,0.011547344110854504
IRV,-0.011547344110854504,0.006928406466512702,-0.011547344110854504,-0.011547344110854504,0.006928406466512702,-0.011547344110854504,0.0
