,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.002061855670103093,-0.002061855670103093,0.0,-0.002061855670103093,0.0,0.02268041237113402
plurality,0.002061855670103093,0.0,0.0,0.002061855670103093,0.0,0.002061855670103093,-0.002061855670103093
gt,0.002061855670103093,0.0,0.0,0.002061855670103093,0.0,0.002061855670103093,-0.002061855670103093
minimax,0.0,-0.002061855670103093,-0.002061855670103093,0.0,-0.002061855670103093,0.0,0.02268041237113402
gtd,0.002061855670103093,0.0,0.0,0.002061855670103093,0.0,0.002061855670103093,-0.002061855670103093
Schulze,0.0,-0.002061855670103093,-0.002061855670103093,0.0,-0.002061855670103093,0.0,0.02268041237113402
IRV,-0.02268041237113402,0.002061855670103093,0.002061855670103093,-0.02268041237113402,0.002061855670103093,-0.02268041237113402,0.0
