,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.019955654101995565,-0.019955654101995565,-0.019955654101995565,-0.019955654101995565,-0.019955654101995565,0.024390243902439025
plurality,0.019955654101995565,0.0,0.0,0.0,0.0,0.0,-0.011086474501108648
gt,0.019955654101995565,0.0,0.0,0.0,0.0,0.0,-0.011086474501108648
minimax,0.019955654101995565,0.0,0.0,0.0,0.0,0.0,-0.011086474501108648
gtd,0.019955654101995565,0.0,0.0,0.0,0.0,0.0,-0.011086474501108648
Schulze,0.019955654101995565,0.0,0.0,0.0,0.0,0.0,-0.011086474501108648
IRV,-0.024390243902439025,0.011086474501108648,0.011086474501108648,0.011086474501108648,0.011086474501108648,0.011086474501108648,0.0
