,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.005681818181818182,-0.005681818181818182,0.0,-0.005681818181818182,0.0,0.09659090909090909
plurality,0.005681818181818182,0.0,0.0,0.005681818181818182,0.0,0.005681818181818182,-0.03977272727272727
gt,0.005681818181818182,0.0,0.0,0.005681818181818182,0.0,0.005681818181818182,-0.03977272727272727
minimax,0.0,-0.005681818181818182,-0.005681818181818182,0.0,-0.005681818181818182,0.0,0.09659090909090909
gtd,0.005681818181818182,0.0,0.0,0.005681818181818182,0.0,0.005681818181818182,-0.03977272727272727
Schulze,0.0,-0.005681818181818182,-0.005681818181818182,0.0,-0.005681818181818182,0.0,0.09659090909090909
IRV,-0.09659090909090909,0.03977272727272727,0.03977272727272727,-0.09659090909090909,0.03977272727272727,-0.09659090909090909,0.0
