,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0,0.0,0.0,-0.036619718309859155,0.0,-0.036619718309859155
plurality,0.0,0.0,0.0,0.0,-0.036619718309859155,0.0,-0.036619718309859155
gt,0.0,0.0,0.0,0.0,-0.036619718309859155,0.0,-0.036619718309859155
minimax,0.0,0.0,0.0,0.0,-0.036619718309859155,0.0,-0.036619718309859155
gtd,0.036619718309859155,0.036619718309859155,0.036619718309859155,0.036619718309859155,0.0,0.036619718309859155,0.0
Schulze,0.0,0.0,0.0,0.0,-0.036619718309859155,0.0,-0.036619718309859155
IRV,0.036619718309859155,0.036619718309859155,0.036619718309859155,0.036619718309859155,0.0,0.036619718309859155,0.0
