,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0405727923627685,0.0,0.0,-0.011933174224343675,0.0,0.0
plurality,-0.0405727923627685,0.0,-0.0405727923627685,-0.0405727923627685,0.021479713603818614,-0.0405727923627685,-0.0405727923627685
gt,0.0,0.0405727923627685,0.0,0.0,-0.011933174224343675,0.0,0.0
minimax,0.0,0.0405727923627685,0.0,0.0,-0.011933174224343675,0.0,0.0
gtd,0.011933174224343675,-0.021479713603818614,0.011933174224343675,0.011933174224343675,0.0,0.011933174224343675,0.011933174224343675
Schulze,0.0,0.0405727923627685,0.0,0.0,-0.011933174224343675,0.0,0.0
IRV,0.0,0.0405727923627685,0.0,0.0,-0.011933174224343675,0.0,0.0
