,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.022222222222222223,-0.022222222222222223,0.0,0.0,0.0,0.022222222222222223
plurality,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,-0.05
gt,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,-0.05
minimax,0.0,-0.022222222222222223,-0.022222222222222223,0.0,0.0,0.0,0.022222222222222223
gtd,0.0,-0.022222222222222223,-0.022222222222222223,0.0,0.0,0.0,0.022222222222222223
Schulze,0.0,-0.022222222222222223,-0.022222222222222223,0.0,0.0,0.0,0.022222222222222223
IRV,-0.022222222222222223,0.05,0.05,-0.022222222222222223,-0.022222222222222223,-0.022222222222222223,0.0
