,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0,-0.017793594306049824,0.0,-0.017793594306049824,0.0,-0.017793594306049824
plurality,0.0,0.0,-0.017793594306049824,0.0,-0.017793594306049824,0.0,-0.017793594306049824
gt,0.017793594306049824,0.017793594306049824,0.0,0.017793594306049824,0.0,0.017793594306049824,0.0
minimax,0.0,0.0,-0.017793594306049824,0.0,-0.017793594306049824,0.0,-0.017793594306049824
gtd,0.017793594306049824,0.017793594306049824,0.0,0.017793594306049824,0.0,0.017793594306049824,0.0
Schulze,0.0,0.0,-0.017793594306049824,0.0,-0.017793594306049824,0.0,-0.017793594306049824
IRV,0.017793594306049824,0.017793594306049824,0.0,0.017793594306049824,0.0,0.017793594306049824,0.0
