,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.03286384976525822,0.0,-0.03286384976525822,-0.03286384976525822,-0.03286384976525822,0.08294209702660407
plurality,0.03286384976525822,0.0,0.03286384976525822,0.0,0.0,0.0,-0.023474178403755867
gt,0.0,-0.03286384976525822,0.0,-0.03286384976525822,-0.03286384976525822,-0.03286384976525822,0.08294209702660407
minimax,0.03286384976525822,0.0,0.03286384976525822,0.0,0.0,0.0,-0.023474178403755867
gtd,0.03286384976525822,0.0,0.03286384976525822,0.0,0.0,0.0,-0.023474178403755867
Schulze,0.03286384976525822,0.0,0.03286384976525822,0.0,0.0,0.0,-0.023474178403755867
IRV,-0.08294209702660407,0.023474178403755867,-0.08294209702660407,0.023474178403755867,0.023474178403755867,0.023474178403755867,0.0
