,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0273972602739726,0.0,0.0,-0.0182648401826484,0.0,0.0273972602739726
plurality,-0.0273972602739726,0.0,-0.0273972602739726,-0.0273972602739726,0.0228310502283105,-0.0273972602739726,0.0
gt,0.0,0.0273972602739726,0.0,0.0,-0.0182648401826484,0.0,0.0273972602739726
minimax,0.0,0.0273972602739726,0.0,0.0,-0.0182648401826484,0.0,0.0273972602739726
gtd,0.0182648401826484,-0.0228310502283105,0.0182648401826484,0.0182648401826484,0.0,0.0182648401826484,-0.0228310502283105
Schulze,0.0,0.0273972602739726,0.0,0.0,-0.0182648401826484,0.0,0.0273972602739726
IRV,-0.0273972602739726,0.0,-0.0273972602739726,-0.0273972602739726,0.0228310502283105,-0.0273972602739726,0.0
