,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.0023094688221709007,-0.0023094688221709007,-0.0023094688221709007,-0.0023094688221709007,-0.0023094688221709007,0.057736720554272515
plurality,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,-0.0023094688221709007
gt,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,-0.0023094688221709007
minimax,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,-0.0023094688221709007
gtd,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,-0.0023094688221709007
Schulze,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,-0.0023094688221709007
IRV,-0.057736720554272515,0.0023094688221709007,0.0023094688221709007,0.0023094688221709007,0.0023094688221709007,0.0023094688221709007,0.0
