,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.006191950464396285,0.015479876160990712,0.0,0.0,0.0,-0.006191950464396285
plurality,0.006191950464396285,0.0,-0.02786377708978328,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.0
gt,-0.015479876160990712,0.02786377708978328,0.0,-0.015479876160990712,-0.015479876160990712,-0.015479876160990712,0.02786377708978328
minimax,0.0,-0.006191950464396285,0.015479876160990712,0.0,0.0,0.0,-0.006191950464396285
gtd,0.0,-0.006191950464396285,0.015479876160990712,0.0,0.0,0.0,-0.006191950464396285
Schulze,0.0,-0.006191950464396285,0.015479876160990712,0.0,0.0,0.0,-0.006191950464396285
IRV,0.006191950464396285,0.0,-0.02786377708978328,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.0
