,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.017699115044247787,-0.017699115044247787,0.0,-0.017699115044247787,0.0,-0.017699115044247787
plurality,0.017699115044247787,0.0,0.0,0.017699115044247787,0.0,0.017699115044247787,0.0
gt,0.017699115044247787,0.0,0.0,0.017699115044247787,0.0,0.017699115044247787,0.0
minimax,0.0,-0.017699115044247787,-0.017699115044247787,0.0,-0.017699115044247787,0.0,-0.017699115044247787
gtd,0.017699115044247787,0.0,0.0,0.017699115044247787,0.0,0.017699115044247787,0.0
Schulze,0.0,-0.017699115044247787,-0.017699115044247787,0.0,-0.017699115044247787,0.0,-0.017699115044247787
IRV,0.017699115044247787,0.0,0.0,0.017699115044247787,0.0,0.017699115044247787,0.0
