,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.016216216216216217,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.10810810810810811
plurality,0.016216216216216217,0.0,-0.016216216216216217,-0.016216216216216217,-0.016216216216216217,-0.016216216216216217,-0.021621621621621623
gt,-0.005405405405405406,0.016216216216216217,0.0,0.0,0.0,0.0,0.043243243243243246
minimax,-0.005405405405405406,0.016216216216216217,0.0,0.0,0.0,0.0,0.043243243243243246
gtd,-0.005405405405405406,0.016216216216216217,0.0,0.0,0.0,0.0,0.043243243243243246
Schulze,-0.005405405405405406,0.016216216216216217,0.0,0.0,0.0,0.0,0.043243243243243246
IRV,-0.10810810810810811,0.021621621621621623,-0.043243243243243246,-0.043243243243243246,-0.043243243243243246,-0.043243243243243246,0.0
