,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.034482758620689655,0.07881773399014778,-0.034482758620689655,-0.034482758620689655,-0.034482758620689655,-0.034482758620689655
plurality,0.034482758620689655,0.0,-0.029556650246305417,0.0,0.0,0.0,0.0
gt,-0.07881773399014778,0.029556650246305417,0.0,0.029556650246305417,0.029556650246305417,0.029556650246305417,0.029556650246305417
minimax,0.034482758620689655,0.0,-0.029556650246305417,0.0,0.0,0.0,0.0
gtd,0.034482758620689655,0.0,-0.029556650246305417,0.0,0.0,0.0,0.0
Schulze,0.034482758620689655,0.0,-0.029556650246305417,0.0,0.0,0.0,0.0
IRV,0.034482758620689655,0.0,-0.029556650246305417,0.0,0.0,0.0,0.0
