,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.08571428571428572,-0.0025974025974025974,0.0,-0.0025974025974025974,0.0,0.08571428571428572
plurality,-0.08571428571428572,0.0,0.007792207792207792,-0.08571428571428572,0.007792207792207792,-0.08571428571428572,0.0
gt,0.0025974025974025974,-0.007792207792207792,0.0,0.0025974025974025974,0.0,0.0025974025974025974,-0.007792207792207792
minimax,0.0,0.08571428571428572,-0.0025974025974025974,0.0,-0.0025974025974025974,0.0,0.08571428571428572
gtd,0.0025974025974025974,-0.007792207792207792,0.0,0.0025974025974025974,0.0,0.0025974025974025974,-0.007792207792207792
Schulze,0.0,0.08571428571428572,-0.0025974025974025974,0.0,-0.0025974025974025974,0.0,0.08571428571428572
IRV,-0.08571428571428572,0.0,0.007792207792207792,-0.08571428571428572,0.007792207792207792,-0.08571428571428572,0.0
