,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.013404825737265416,0.0,0.0,0.0,0.0,0.024128686327077747
plurality,0.013404825737265416,0.0,0.013404825737265416,0.013404825737265416,0.013404825737265416,0.013404825737265416,-0.03485254691689008
gt,0.0,-0.013404825737265416,0.0,0.0,0.0,0.0,0.024128686327077747
minimax,0.0,-0.013404825737265416,0.0,0.0,0.0,0.0,0.024128686327077747
gtd,0.0,-0.013404825737265416,0.0,0.0,0.0,0.0,0.024128686327077747
Schulze,0.0,-0.013404825737265416,0.0,0.0,0.0,0.0,0.024128686327077747
IRV,-0.024128686327077747,0.03485254691689008,-0.024128686327077747,-0.024128686327077747,-0.024128686327077747,-0.024128686327077747,0.0
