,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.03982300884955752,0.11946902654867257,-0.03982300884955752,-0.03982300884955752,-0.03982300884955752,-0.03982300884955752
plurality,0.03982300884955752,0.0,-0.004424778761061947,0.0,0.0,0.0,0.0
gt,-0.11946902654867257,0.004424778761061947,0.0,0.004424778761061947,0.004424778761061947,0.004424778761061947,0.004424778761061947
minimax,0.03982300884955752,0.0,-0.004424778761061947,0.0,0.0,0.0,0.0
gtd,0.03982300884955752,0.0,-0.004424778761061947,0.0,0.0,0.0,0.0
Schulze,0.03982300884955752,0.0,-0.004424778761061947,0.0,0.0,0.0,0.0
IRV,0.03982300884955752,0.0,-0.004424778761061947,0.0,0.0,0.0,0.0
