,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.020689655172413793,-0.020689655172413793,0.0,-0.020689655172413793,0.0,0.029885057471264367
plurality,0.020689655172413793,0.0,0.0,0.020689655172413793,0.0,0.020689655172413793,-0.020689655172413793
gt,0.020689655172413793,0.0,0.0,0.020689655172413793,0.0,0.020689655172413793,-0.020689655172413793
minimax,0.0,-0.020689655172413793,-0.020689655172413793,0.0,-0.020689655172413793,0.0,0.029885057471264367
gtd,0.020689655172413793,0.0,0.0,0.020689655172413793,0.0,0.020689655172413793,-0.020689655172413793
Schulze,0.0,-0.020689655172413793,-0.020689655172413793,0.0,-0.020689655172413793,0.0,0.029885057471264367
IRV,-0.029885057471264367,0.020689655172413793,0.020689655172413793,-0.029885057471264367,0.020689655172413793,-0.029885057471264367,0.0
