,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.05063291139240506,-0.004219409282700422,0.0,0.0,0.0,0.0
plurality,-0.05063291139240506,0.0,0.046413502109704644,-0.05063291139240506,-0.05063291139240506,-0.05063291139240506,-0.05063291139240506
gt,0.004219409282700422,-0.046413502109704644,0.0,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.004219409282700422
minimax,0.0,0.05063291139240506,-0.004219409282700422,0.0,0.0,0.0,0.0
gtd,0.0,0.05063291139240506,-0.004219409282700422,0.0,0.0,0.0,0.0
Schulze,0.0,0.05063291139240506,-0.004219409282700422,0.0,0.0,0.0,0.0
IRV,0.0,0.05063291139240506,-0.004219409282700422,0.0,0.0,0.0,0.0
