,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.07608695652173914,-0.021739130434782608,-0.021739130434782608,-0.021739130434782608,-0.021739130434782608,0.0
plurality,-0.07608695652173914,0.0,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,-0.07608695652173914
gt,0.021739130434782608,-0.010869565217391304,0.0,0.0,0.0,0.0,0.021739130434782608
minimax,0.021739130434782608,-0.010869565217391304,0.0,0.0,0.0,0.0,0.021739130434782608
gtd,0.021739130434782608,-0.010869565217391304,0.0,0.0,0.0,0.0,0.021739130434782608
Schulze,0.021739130434782608,-0.010869565217391304,0.0,0.0,0.0,0.0,0.021739130434782608
IRV,0.0,0.07608695652173914,-0.021739130434782608,-0.021739130434782608,-0.021739130434782608,-0.021739130434782608,0.0
