,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.022332506203473945,0.0,0.0,0.0,0.0,0.022332506203473945
plurality,-0.022332506203473945,0.0,-0.022332506203473945,-0.022332506203473945,-0.022332506203473945,-0.022332506203473945,0.0
gt,0.0,0.022332506203473945,0.0,0.0,0.0,0.0,0.022332506203473945
minimax,0.0,0.022332506203473945,0.0,0.0,0.0,0.0,0.022332506203473945
gtd,0.0,0.022332506203473945,0.0,0.0,0.0,0.0,0.022332506203473945
Schulze,0.0,0.022332506203473945,0.0,0.0,0.0,0.0,0.022332506203473945
IRV,-0.022332506203473945,0.0,-0.022332506203473945,-0.022332506203473945,-0.022332506203473945,-0.022332506203473945,0.0
