,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.007067137809187279,-0.007067137809187279,0.0,-0.007067137809187279,0.0,-0.007067137809187279
plurality,0.007067137809187279,0.0,0.0,0.007067137809187279,0.0,0.007067137809187279,0.0
gt,0.007067137809187279,0.0,0.0,0.007067137809187279,0.0,0.007067137809187279,0.0
minimax,0.0,-0.007067137809187279,-0.007067137809187279,0.0,-0.007067137809187279,0.0,-0.007067137809187279
gtd,0.007067137809187279,0.0,0.0,0.007067137809187279,0.0,0.007067137809187279,0.0
Schulze,0.0,-0.007067137809187279,-0.007067137809187279,0.0,-0.007067137809187279,0.0,-0.007067137809187279
IRV,0.007067137809187279,0.0,0.0,0.007067137809187279,0.0,0.007067137809187279,0.0
