,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.013774104683195593,0.1349862258953168,0.0,-0.013774104683195593,0.0,-0.013774104683195593
plurality,0.013774104683195593,0.0,-0.05785123966942149,0.013774104683195593,0.0,0.013774104683195593,0.0
gt,-0.1349862258953168,0.05785123966942149,0.0,-0.1349862258953168,0.05785123966942149,-0.1349862258953168,0.05785123966942149
minimax,0.0,-0.013774104683195593,0.1349862258953168,0.0,-0.013774104683195593,0.0,-0.013774104683195593
gtd,0.013774104683195593,0.0,-0.05785123966942149,0.013774104683195593,0.0,0.013774104683195593,0.0
Schulze,0.0,-0.013774104683195593,0.1349862258953168,0.0,-0.013774104683195593,0.0,-0.013774104683195593
IRV,0.013774104683195593,0.0,-0.05785123966942149,0.013774104683195593,0.0,0.013774104683195593,0.0
