,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0,-0.02452316076294278,-0.02452316076294278,-0.02452316076294278,-0.02452316076294278,-0.02452316076294278
plurality,0.0,0.0,-0.02452316076294278,-0.02452316076294278,-0.02452316076294278,-0.02452316076294278,-0.02452316076294278
gt,0.02452316076294278,0.02452316076294278,0.0,0.0,0.0,0.0,0.0
minimax,0.02452316076294278,0.02452316076294278,0.0,0.0,0.0,0.0,0.0
gtd,0.02452316076294278,0.02452316076294278,0.0,0.0,0.0,0.0,0.0
Schulze,0.02452316076294278,0.02452316076294278,0.0,0.0,0.0,0.0,0.0
IRV,0.02452316076294278,0.02452316076294278,0.0,0.0,0.0,0.0,0.0
