,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.0,0.053117782909930716,-0.03464203233256351,-0.03464203233256351,-0.03464203233256351,0.0
plurality,0.0,0.0,0.053117782909930716,-0.03464203233256351,-0.03464203233256351,-0.03464203233256351,0.0
gt,-0.053117782909930716,-0.053117782909930716,0.0,0.0023094688221709007,0.0023094688221709007,0.0023094688221709007,-0.053117782909930716
minimax,0.03464203233256351,0.03464203233256351,-0.0023094688221709007,0.0,0.0,0.0,0.03464203233256351
gtd,0.03464203233256351,0.03464203233256351,-0.0023094688221709007,0.0,0.0,0.0,0.03464203233256351
Schulze,0.03464203233256351,0.03464203233256351,-0.0023094688221709007,0.0,0.0,0.0,0.03464203233256351
IRV,0.0,0.0,0.053117782909930716,-0.03464203233256351,-0.03464203233256351,-0.03464203233256351,0.0
