,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,-0.011235955056179775,0.0,0.0,-0.011235955056179775,0.0,0.0651685393258427
plurality,0.011235955056179775,0.0,0.011235955056179775,0.011235955056179775,0.0,0.011235955056179775,-0.038202247191011236
gt,0.0,-0.011235955056179775,0.0,0.0,-0.011235955056179775,0.0,0.0651685393258427
minimax,0.0,-0.011235955056179775,0.0,0.0,-0.011235955056179775,0.0,0.0651685393258427
gtd,0.011235955056179775,0.0,0.011235955056179775,0.011235955056179775,0.0,0.011235955056179775,-0.038202247191011236
Schulze,0.0,-0.011235955056179775,0.0,0.0,-0.011235955056179775,0.0,0.0651685393258427
IRV,-0.0651685393258427,0.038202247191011236,-0.0651685393258427,-0.0651685393258427,0.038202247191011236,-0.0651685393258427,0.0
