,Borda,plurality,gt,minimax,gtd,Schulze,IRV
Borda,0.0,0.025925925925925925,0.0,0.0,-0.014814814814814815,0.0,0.025925925925925925
plurality,-0.025925925925925925,0.0,-0.025925925925925925,-0.025925925925925925,0.025925925925925925,-0.025925925925925925,0.0
gt,0.0,0.025925925925925925,0.0,0.0,-0.014814814814814815,0.0,0.025925925925925925
minimax,0.0,0.025925925925925925,0.0,0.0,-0.014814814814814815,0.0,0.025925925925925925
gtd,0.014814814814814815,-0.025925925925925925,0.014814814814814815,0.014814814814814815,0.0,0.014814814814814815,-0.025925925925925925
Schulze,0.0,0.025925925925925925,0.0,0.0,-0.014814814814814815,0.0,0.025925925925925925
IRV,-0.025925925925925925,0.0,-0.025925925925925925,-0.025925925925925925,0.025925925925925925,-0.025925925925925925,0.0
